"","det","pre"
"1",646,201
"2",351,97
"3",287,87
"4",281,77
"5",503,142
"6",144,44
"7",345,114
"8",473,127
"9",440,114
"10",707,203
"11",329,93
"12",481,127
"13",733,221
"14",27,7
"15",292,91
"16",244,69
"17",371,97
"18",168,46
"19",157,44
"20",148,43
"21",301,75
"22",625,191
"23",117,34
"24",441,117
"25",517,148
"26",558,165
"27",395,125
"28",428,120
"29",449,126
"30",347,94
"31",250,70
"32",655,173
"33",123,36
"34",169,52
"35",406,109
"36",328,101
"37",46,15
"38",183,52
"39",169,54
"40",587,153
"41",288,82
"42",330,91
"43",642,166
"44",303,83
"45",339,106
"46",666,178
"47",440,126
"48",480,131
"49",551,149
"50",109,31
"51",360,91
"52",219,53
"53",330,112
"54",234,70
"55",97,26
"56",443,139
"57",630,189
"58",310,82
"59",428,132
"60",59,16
"61",698,206
"62",134,36
"63",585,155
"64",103,32
"65",286,81
"66",289,88
"67",618,170
"68",703,195
"69",618,165
"70",482,140
"71",231,75
"72",206,59
"73",361,98
"74",184,50
"75",73,27
"76",662,173
"77",29,8
"78",455,138
"79",676,182
"80",651,196
"81",52,15
"82",520,148
"83",599,159
"84",490,154
"85",386,105
"86",53,15
"87",366,120
"88",561,156
"89",225,57
"90",585,173
"91",616,177
"92",158,43
"93",296,83
"94",306,80
"95",651,184
"96",31,9
"97",687,189
"98",102,29
"99",195,58
"100",610,174
"101",230,63
"102",654,194
"103",15,5
"104",155,44
"105",516,156
"106",82,25
"107",600,167
"108",109,37
"109",402,132
"110",62,17
"111",470,148
"112",674,211
"113",110,30
"114",287,77
"115",265,77
"116",311,98
"117",192,52
"118",170,49
"119",138,36
"120",712,221
"121",592,164
"122",265,72
"123",457,123
"124",596,194
"125",214,62
"126",236,72
"127",586,146
"128",677,191
"129",179,48
"130",349,104
"131",660,180
"132",418,127
"133",294,90
"134",334,106
"135",135,36
"136",370,109
"137",603,176
"138",475,135
"139",460,123
"140",335,78
"141",276,80
"142",304,95
"143",654,167
"144",172,56
"145",45,15
"146",445,127
"147",616,182
"148",358,99
"149",603,174
"150",644,177
"151",378,105
"152",668,209
"153",508,151
"154",553,169
"155",240,76
"156",137,36
"157",667,205
"158",563,176
"159",701,213
"160",332,98
"161",518,145
"162",224,64
"163",224,68
"164",82,22
"165",490,134
"166",177,45
"167",174,47
"168",428,124
"169",182,60
"170",496,135
"171",182,63
"172",196,49
"173",513,135
"174",121,35
"175",381,112
"176",396,113
"177",585,165
"178",22,6
"179",620,168
"180",622,175
"181",205,52
"182",710,191
"183",435,119
"184",680,198
"185",522,165
"186",208,59
"187",581,165
"188",277,71
"189",358,98
"190",240,67
"191",517,163
"192",353,100
"193",507,154
"194",215,67
"195",411,119
"196",474,134
"197",176,51
"198",114,32
"199",335,87
"200",257,81
