"","N_est","N_pres","N_det"
"1",106.000000340007,26,106
"2",108.000000220783,27,108
"3",116.000000246964,35,116
"4",125.000000235688,35,125
"5",126.000000156285,40,126
"6",135.000000640328,34,135
"7",138.000000200426,43,138
"8",150.000000726789,37,150
"9",146.000000624984,38,147
"10",160.000000725997,35,160
"11",167.000000312444,36,167
"12",NA,52,184
"13",178.000000905222,50,178
"14",178.000002875511,40,178
"15",202.000000852829,62,202
"16",NA,57,203
"17",217.000000430323,62,217
"18",207.000000952226,54,207
"19",226.000000881054,54,226
"20",236.000001119055,65,236
"21",229.000000825215,57,229
"22",224.000000027275,67,224
"23",271.000000500623,80,271
"24",248.000000647248,55,248
"25",NA,71,273
"26",NA,79,281
"27",274.00000047194,78,274
"28",282.000006886449,67,283
"29",NA,74,264
"30",298.000000126043,88,299
"31",266.00000078765,75,266
"32",303.000001092711,81,304
"33",NA,85,306
"34",344.000000009504,99,345
"35",305.00000110284,73,305
"36",347.000000234318,90,347
